family	symbol	c_signature	header	javacpp	datalevin_callers	dtlv_internal	condition
dtlv_key_iter	dtlv_key_iter_create	int (dtlv_key_iter **, MDB_cursor *, MDB_val *, MDB_val *, int, int, int, MDB_val *, MDB_val *)	src/dtlv.h:44	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_key_iter	dtlv_key_iter_destroy	void (dtlv_key_iter *)	src/dtlv.h:64	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_key_iter	dtlv_key_iter_has_next	int (dtlv_key_iter *)	src/dtlv.h:57	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_key_rank_sample_iter	dtlv_key_rank_sample_iter_create	int (dtlv_key_rank_sample_iter **, size_t *, int, MDB_cursor *, MDB_val *, MDB_val *, MDB_val *, MDB_val *)	src/dtlv.h:88	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_key_rank_sample_iter	dtlv_key_rank_sample_iter_destroy	void (dtlv_key_rank_sample_iter *)	src/dtlv.h:107	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_key_rank_sample_iter	dtlv_key_rank_sample_iter_has_next	int (dtlv_key_rank_sample_iter *)	src/dtlv.h:100	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_iter	dtlv_list_iter_create	int (dtlv_list_iter **, MDB_cursor *, MDB_val *, MDB_val *, int, int, int, MDB_val *, MDB_val *, int, int, int, MDB_val *, MDB_val *)	src/dtlv.h:134	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_iter	dtlv_list_iter_destroy	void (dtlv_list_iter *)	src/dtlv.h:156	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_iter	dtlv_list_iter_has_next	int (dtlv_list_iter *)	src/dtlv.h:149	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_key_range_full_val_iter	dtlv_list_key_range_full_val_iter_create	int (dtlv_list_key_range_full_val_iter **, MDB_cursor *, MDB_val *, MDB_val *, int, int, MDB_val *, MDB_val *)	src/dtlv.h:279	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_key_range_full_val_iter	dtlv_list_key_range_full_val_iter_destroy	void (dtlv_list_key_range_full_val_iter *)	src/dtlv.h:298	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_key_range_full_val_iter	dtlv_list_key_range_full_val_iter_has_next	int (dtlv_list_key_range_full_val_iter *)	src/dtlv.h:290	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_rank_sample_iter	dtlv_list_rank_sample_iter_create	int (dtlv_list_rank_sample_iter **, size_t *, int, MDB_cursor *, MDB_val *, MDB_val *, MDB_val *, MDB_val *)	src/dtlv.h:321	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_rank_sample_iter	dtlv_list_rank_sample_iter_destroy	void (dtlv_list_rank_sample_iter *)	src/dtlv.h:340	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_rank_sample_iter	dtlv_list_rank_sample_iter_has_next	int (dtlv_list_rank_sample_iter *)	src/dtlv.h:333	yes	src/datalevin/binding/cpp.clj	no	default
dtlv.count	dtlv_list_val_count	size_t (MDB_cursor *, MDB_val *, MDB_val *)	src/dtlv.h:256	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_val_full_iter	dtlv_list_val_full_iter_create	int (dtlv_list_val_full_iter **, MDB_cursor *, MDB_val *, MDB_val *)	src/dtlv.h:219	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_val_full_iter	dtlv_list_val_full_iter_destroy	void (dtlv_list_val_full_iter *)	src/dtlv.h:246	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_val_full_iter	dtlv_list_val_full_iter_has_next	int (dtlv_list_val_full_iter *)	src/dtlv.h:239	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_val_full_iter	dtlv_list_val_full_iter_seek	int (dtlv_list_val_full_iter *, MDB_val *)	src/dtlv.h:230	yes	src/datalevin/binding/cpp.clj	no	default
dtlv_list_val_iter	dtlv_list_val_iter_create	int (dtlv_list_val_iter **, MDB_cursor *, MDB_val *, MDB_val *, MDB_val *, MDB_val *)	src/dtlv.h:175	yes		no	default
dtlv_list_val_iter	dtlv_list_val_iter_destroy	void (dtlv_list_val_iter *)	src/dtlv.h:202	yes		no	default
dtlv_list_val_iter	dtlv_list_val_iter_has_next	int (dtlv_list_val_iter *)	src/dtlv.h:195	yes		no	default
dtlv_list_val_iter	dtlv_list_val_iter_seek	int (dtlv_list_val_iter *, MDB_val *)	src/dtlv.h:186	yes		no	default
llama.embedder	dtlv_llama_detokenize	int (dtlv_llama_embedder *, const int *, int, char *, int)	src/dtlv.h:420	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.embedder	dtlv_llama_embed	int (dtlv_llama_embedder *, const char *, float *, size_t)	src/dtlv.h:438	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.embedder	dtlv_llama_embed_batch	int (dtlv_llama_embedder *, const char **, int, float *, size_t)	src/dtlv.h:458	yes		no	default
llama.embedder	dtlv_llama_embedder_create	int (dtlv_llama_embedder **, const char *, int, int, int, int)	src/dtlv.h:359	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.embedder	dtlv_llama_embedder_destroy	void (dtlv_llama_embedder *)	src/dtlv.h:469	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.embedder	dtlv_llama_embedder_n_ctx	int (dtlv_llama_embedder *)	src/dtlv.h:390	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.embedder	dtlv_llama_embedder_n_embd	int (dtlv_llama_embedder *)	src/dtlv.h:372	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.generator	dtlv_llama_generate	int (dtlv_llama_generator *, const char *, int, char *, size_t)	src/dtlv.h:529	yes	src/java/datalevin/llm/LlamaGenerator.java	no	default
llama.generator	dtlv_llama_generator_create	int (dtlv_llama_generator **, const char *, int, int, int)	src/dtlv.h:490	yes	src/java/datalevin/llm/LlamaGenerator.java	no	default
llama.generator	dtlv_llama_generator_destroy	void (dtlv_llama_generator *)	src/dtlv.h:564	yes	src/java/datalevin/llm/LlamaGenerator.java	no	default
llama.generator	dtlv_llama_generator_n_ctx	int (dtlv_llama_generator *)	src/dtlv.h:502	yes	src/java/datalevin/llm/LlamaGenerator.java	no	default
llama.generator	dtlv_llama_generator_token_count	int (dtlv_llama_generator *, const char *)	src/dtlv.h:511	yes	src/java/datalevin/llm/LlamaGenerator.java	no	default
llama.vision	dtlv_llama_ocr	int (dtlv_llama_vision_generator *, const char *, int, char *, size_t)	src/dtlv.h:645	yes		no	default
llama.generator	dtlv_llama_summarize	int (dtlv_llama_generator *, const char *, int, char *, size_t)	src/dtlv.h:553	yes	src/java/datalevin/llm/LlamaGenerator.java	no	default
llama.embedder	dtlv_llama_token_count	int (dtlv_llama_embedder *, const char *)	src/dtlv.h:381	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.embedder	dtlv_llama_tokenize	int (dtlv_llama_embedder *, const char *, int *, int)	src/dtlv.h:403	yes	src/java/datalevin/llm/LlamaEmbedder.java	no	default
llama.vision	dtlv_llama_vision_generate	int (dtlv_llama_vision_generator *, const char *, const char *, int, char *, size_t)	src/dtlv.h:627	yes		no	default
llama.vision	dtlv_llama_vision_generator_create	int (dtlv_llama_vision_generator **, const char *, const char *, int, int, int, int, int)	src/dtlv.h:593	yes		no	default
llama.vision	dtlv_llama_vision_generator_destroy	void (dtlv_llama_vision_generator *)	src/dtlv.h:656	yes		no	default
llama.vision	dtlv_llama_vision_generator_n_ctx	int (dtlv_llama_vision_generator *)	src/dtlv.h:608	yes		no	default
dlmdb.database	mdb_cmp	int (MDB_txn *, MDB_dbi, const MDB_val *, const MDB_val *)	src/lmdb/libraries/liblmdb/dlmdb.h:1750	yes		yes	default
dlmdb.count_rank	mdb_count_all	int (MDB_txn *, MDB_dbi, unsigned int, uint64_t *)	src/lmdb/libraries/liblmdb/dlmdb.h:1233	yes	src/datalevin/binding/cpp.clj	yes	default
dlmdb.count_rank	mdb_count_range	int (MDB_txn *, MDB_dbi, const MDB_val *, const MDB_val *, unsigned int, uint64_t *)	src/lmdb/libraries/liblmdb/dlmdb.h:1234	yes		no	default
dlmdb.cursor	mdb_cursor_close	void (MDB_cursor *)	src/lmdb/libraries/liblmdb/dlmdb.h:1561	yes	src/java/datalevin/cpp/Cursor.java	no	default
dlmdb.cursor	mdb_cursor_count	int (MDB_cursor *, mdb_size_t *)	src/lmdb/libraries/liblmdb/dlmdb.h:1713	yes	src/java/datalevin/cpp/Cursor.java	yes	default
dlmdb.cursor	mdb_cursor_dbi	MDB_dbi (MDB_cursor *)	src/lmdb/libraries/liblmdb/dlmdb.h:1591	yes		yes	default
dlmdb.cursor	mdb_cursor_del	int (MDB_cursor *, unsigned int)	src/lmdb/libraries/liblmdb/dlmdb.h:1699	yes	src/java/datalevin/cpp/Cursor.java	no	default
dlmdb.cursor	mdb_cursor_get	int (MDB_cursor *, MDB_val *, MDB_val *, MDB_cursor_op)	src/lmdb/libraries/liblmdb/dlmdb.h:1612	yes	src/java/datalevin/cpp/Cursor.java	yes	default
dlmdb.count_rank	mdb_cursor_get_rank	int (MDB_cursor *, uint64_t, MDB_val *, MDB_val *, unsigned int)	src/lmdb/libraries/liblmdb/dlmdb.h:1293	yes		yes	default
dlmdb.count_rank	mdb_cursor_key_rank	int (MDB_cursor *, const MDB_val *, const MDB_val *, unsigned int, uint64_t *)	src/lmdb/libraries/liblmdb/dlmdb.h:1313	yes		yes	default
dlmdb.cursor	mdb_cursor_list_dup	int (MDB_cursor *, const MDB_val **, mdb_size_t *)	src/lmdb/libraries/liblmdb/dlmdb.h:1737	no		yes	default
dlmdb.cursor	mdb_cursor_open	int (MDB_txn *, MDB_dbi, MDB_cursor **)	src/lmdb/libraries/liblmdb/dlmdb.h:1553	yes	src/java/datalevin/cpp/Cursor.java	no	default
dlmdb.cursor	mdb_cursor_put	int (MDB_cursor *, MDB_val *, MDB_val *, unsigned int)	src/lmdb/libraries/liblmdb/dlmdb.h:1675	yes	src/java/datalevin/cpp/Cursor.java	no	default
dlmdb.cursor	mdb_cursor_renew	int (MDB_txn *, MDB_cursor *)	src/lmdb/libraries/liblmdb/dlmdb.h:1579	yes	src/java/datalevin/cpp/Cursor.java	no	default
dlmdb.cursor	mdb_cursor_txn	MDB_txn *(MDB_cursor *)	src/lmdb/libraries/liblmdb/dlmdb.h:1585	yes		yes	default
dlmdb.database	mdb_dbi_close	void (MDB_env *, MDB_dbi)	src/lmdb/libraries/liblmdb/dlmdb.h:1336	yes		no	default
dlmdb.database	mdb_dbi_flags	int (MDB_txn *, MDB_dbi, unsigned int *)	src/lmdb/libraries/liblmdb/dlmdb.h:1227	yes		no	default
dlmdb.database	mdb_dbi_open	int (MDB_txn *, const char *, unsigned int, MDB_dbi *)	src/lmdb/libraries/liblmdb/dlmdb.h:1204	yes	src/java/datalevin/cpp/Dbi.java	no	default
dlmdb.database	mdb_dcmp	int (MDB_txn *, MDB_dbi, const MDB_val *, const MDB_val *)	src/lmdb/libraries/liblmdb/dlmdb.h:1762	yes		no	default
